[INFO] [1764347569.200812631] [cube_tracker]: Cube Tracker Initialized. Waiting for movement...
[INFO] [1764347596.436538801] [cube_tracker]: MOVEMENT DETECTED: Cuboid2 moved to array('f', [-0.6499999761581421, 0.1500314325094223, 0.9300000071525574])
[INFO] [1764347596.640205959] [cube_tracker]: MOVEMENT DETECTED: Cuboid2 moved to array('f', [-0.6499999761581421, 0.16503143310546875, 0.9300000071525574])
[INFO] [1764347596.836707951] [cube_tracker]: MOVEMENT DETECTED: Cuboid2 moved to array('f', [-0.6499999761581421, 0.18753081560134888, 0.9300000071525574])
[INFO] [1764347597.036492691] [cube_tracker]: MOVEMENT DETECTED: Cuboid2 moved to array('f', [-0.6499999761581421, 0.2023196965456009, 0.9300000071525574])
[INFO] [1764347597.236488954] [cube_tracker]: MOVEMENT DETECTED: Cuboid2 moved to array('f', [-0.6499999761581421, 0.22250303626060486, 0.9300000071525574])
[INFO] [1764347597.436565353] [cube_tracker]: MOVEMENT DETECTED: Cuboid2 moved to array('f', [-0.6499999761581421, 0.23788636922836304, 0.9300000071525574])
[INFO] [1764347597.836051364] [cube_tracker]: MOVEMENT DETECTED: Cuboid2 moved to array('f', [-0.6499999761581421, 0.24791599810123444, 0.9300000071525574])
[INFO] [1764347606.235731255] [cube_tracker]: MOVEMENT DETECTED: Cuboid3 moved to array('f', [-0.6499999761581421, -0.18343015015125275, 0.9300000071525574])
[INFO] [1764347606.435865157] [cube_tracker]: MOVEMENT DETECTED: Cuboid3 moved to array('f', [-0.6499999761581421, -0.17245836555957794, 0.9300000071525574])
[INFO] [1764347606.535421197] [cube_tracker]: MOVEMENT DETECTED: Cuboid3 moved to array('f', [-0.6499999761581421, -0.15935838222503662, 0.9300000071525574])
[INFO] [1764347606.735433277] [cube_tracker]: MOVEMENT DETECTED: Cuboid3 moved to array('f', [-0.6499999761581421, -0.13746801018714905, 0.9300000071525574])
[INFO] [1764347606.935414855] [cube_tracker]: MOVEMENT DETECTED: Cuboid3 moved to array('f', [-0.6499999761581421, -0.12246856838464737, 0.9300000071525574])
[INFO] [1764347607.035865018] [cube_tracker]: MOVEMENT DETECTED: Cuboid3 moved to array('f', [-0.6499999761581421, -0.10746856778860092, 0.9300000071525574])
[INFO] [1764347607.235815238] [cube_tracker]: MOVEMENT DETECTED: Cuboid3 moved to array('f', [-0.6499999761581421, -0.09246856719255447, 0.9300000071525574])
[INFO] [1764347607.335800538] [cube_tracker]: MOVEMENT DETECTED: Cuboid3 moved t
